Peak ID	Name	Scan	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Estimated noise	S/N	Sharpness	Gaussian similarity	Ideal slope	Symmetry	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	m/z similarity	Simple dot product	Weighted dot product	Reverse dot product	Matched peaks count	Matched peaks percentage	Total score	S/N	MS1 isotopes	MSMS spectrum
22	Unknown	276	0.498	0.599	0.742	100.00317	627528	6620171	7134.228	87.19798	41.770	0.635	0.998	0.490		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	87.19798	100.00317 618655;100.01134 6190;101.00642 17186	54.00166 3098;55.28609 3222;72.10767 11982;72.99202 24293;75.99690 2949;76.64814 3540;79.52648 3049;87.36570 2906;99.92481 108516;100.00320 5212;102.73911 2536
23	Unknown	276	0.435	0.599	0.742	103.00270	114209	1616856	4517.800	24.96943	25.632	0.598	0.998	0.393		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	24.96943	103.00282 124758;103.99800 28838	null
24	Unknown	276	0.524	0.599	0.636	112.05075	673616	4428983	6194.553	7.96114	44.781	0.908	0.991	0.715		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	7.96114	112.05080 704361;112.06062 5680;113.04775 11230;113.05409 25070;113.05994 266728;114.05528 23106	71.06402 2505;71.63728 6062;71.64155 5834;83.18063 2186;111.63768 2278;112.00288 3587;112.05077 65509
25	Unknown	276	0.346	0.599	0.742	118.01375	101641	1921548	4426.489	22.71321	15.974	0.693	0.998	0.517		[M-H]-	1		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	22.71321	118.01375 66112;118.02192 38106;119.00908 7427;119.01677 7031;120.02052 5036	null
26	Unknown	276	0.498	0.599	0.742	118.99783	94164	1011306	4914.451	18.90644	17.067	0.705	0.996	0.662		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	18.90644	118.99168 7593;118.99342 7532;118.99783 84206;120.99569 29893	null
27	Unknown	282	0.561	0.612	0.742	87.00776	662118	5394266	39585.550	16.08887	47.933	0.641	0.994	0.513		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	16.08887	87.00776 676778;88.00305 404832;88.01111 25765;88.01591 9331;89.00638 8448;89.01312 17446	51.39488 3243;58.87175 3732;64.91161 3068;71.99293 9448
28	Unknown	282	0.484	0.612	0.742	89.99040	151642	1752551	1524.660	98.88127	22.525	0.604	0.995	0.264		[M-H]-	1		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	98.88127	89.99040 162678;90.98485 7734;90.99130 76468;90.99899 7402	null
29	Unknown	282	0.510	0.612	0.742	102.01873	245551	2735736	8395.820	28.79928	27.867	0.821	0.994	0.445		[M-H]-	1		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	28.79928	102.01873 235867;102.02686 13579;103.01405 102898	null
30	Unknown	282	0.537	0.612	0.742	113.03477	386899	3585917	9232.535	41.74317	47.879	0.828	1.000	0.690		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	41.74317	113.03478 368332;114.02687 13528;114.03152 7999;114.03809 20423;115.03918 838320	null
31	Unknown	282	0.537	0.612	0.742	115.00283	264623	2349268	6178.234	42.70526	34.041	0.857	0.997	0.486		[M+HCOO]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	42.70526	115.00283 302238;115.99804 28454;116.00617 14647	null
32	Unknown	282	0.549	0.612	0.742	117.01846	1137755	9800487	43632.140	25.83744	64.728	0.761	0.995	0.369		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	25.83744	117.01846 1234265;118.01377 46880;118.02180 43517;118.02659 8800;119.00912 10987;119.01669 10372	72.55293 20393;72.55699 13041;73.02844 60303;85.09389 8574;95.53163 8112;99.92477 92603;102.46693 8504;105.20350 7324;116.92754 335412;117.01898 10517
